Date,pkr_to_oneDollar,Gold_Price_In_Dolars,Petrol_Price,Year,Month,lag_1,lag_2,lag_3,rolling_mean_3,diff_1
2020-10-01,164.32,178.7100067138672,106.72,2020,10,165.02,166.23,167.2,165.19,-0.700000000000017
2020-11-01,159.65,177.4499969482422,107.97,2020,11,164.32,165.02,166.23,162.99666666666667,-4.6699999999999875
2020-12-01,159.09,169.75999450683594,109.13,2020,12,159.65,164.32,165.02,161.02,-0.5600000000000023
2021-01-01,159.8,181.97000122070312,111.19,2021,1,159.09,159.65,164.32,159.51333333333335,0.710000000000008
2021-02-01,160.0,175.02000427246094,112.65,2021,2,159.8,159.09,159.65,159.63,0.19999999999998863
2021-03-01,158.45,163.02999877929688,114.1,2021,3,160.0,159.8,159.09,159.41666666666666,-1.5500000000000114
2021-04-01,151.72,161.55999755859375,117.0,2021,4,158.45,160.0,159.8,156.72333333333333,-6.72999999999999
2021-05-01,152.85,167.61000061035156,118.55,2021,5,151.72,158.45,160.0,154.34,1.1299999999999955
2021-06-01,154.25,178.75999450683594,119.9,2021,6,152.85,151.72,158.45,152.94,1.4000000000000057
2021-07-01,157.8,166.64999389648438,120.5,2021,7,154.25,152.85,151.72,154.96666666666667,3.5500000000000114
2021-08-01,163.25,169.3000030517578,121.0,2021,8,157.8,154.25,152.85,158.43333333333334,5.449999999999989
2021-09-01,166.5,169.94000244140625,123.0,2021,9,163.25,157.8,154.25,162.51666666666668,3.25
2021-10-01,169.75,164.27000427246094,128.0,2021,10,166.5,163.25,157.8,166.5,3.25
2021-11-01,171.24,167.3800048828125,137.0,2021,11,169.75,166.5,163.25,169.16333333333333,1.490000000000009
2021-12-01,174.98,166.83999633789062,144.0,2021,12,171.24,169.75,166.5,171.99,3.7399999999999807
2022-01-01,176.27,168.86000061035156,147.83,2022,1,174.98,171.24,169.75,174.16333333333333,1.2900000000000205
2022-02-01,176.0,168.57000732421875,159.86,2022,2,176.27,174.98,171.24,175.75,-0.27000000000001023
2022-03-01,177.25,179.0500030517578,149.86,2022,3,176.0,176.27,174.98,176.50666666666666,1.25
2022-04-01,183.9,179.5500030517578,149.86,2022,4,177.25,176.0,176.27,179.04999999999998,6.650000000000006
2022-05-01,185.4,173.61000061035156,149.86,2022,5,183.9,177.25,176.0,182.1833333333333,1.5
2022-06-01,197.5,172.2100067138672,233.89,2022,6,185.4,183.9,177.25,188.9333333333333,12.099999999999994
2022-07-01,206.5,167.17999267578125,236.0,2022,7,197.5,185.4,183.9,196.4666666666667,9.0
2022-08-01,239.2,164.97999572753906,235.98,2022,8,206.5,197.5,185.4,214.4,32.69999999999999
2022-09-01,217.7,158.1699981689453,237.43,2022,9,239.2,206.5,197.5,221.13333333333333,-21.5
2022-10-01,229.0,155.44000244140625,224.8,2022,10,217.7,239.2,206.5,228.63333333333333,11.300000000000011
2022-11-01,220.1,153.82000732421875,214.8,2022,11,229.0,217.7,239.2,222.26666666666665,-8.900000000000006
2022-12-01,224.25,167.47999572753906,214.8,2022,12,220.1,229.0,217.7,224.45000000000002,4.150000000000006
2023-01-01,226.5,171.32000732421875,249.8,2023,1,224.25,220.1,229.0,223.61666666666667,2.25
2023-02-01,266.5,179.75,269.8,2023,2,226.5,224.25,220.1,239.08333333333334,40.0
